STATE,COUNTY,POPESTIMATE2017
19,15,26484
19,17,24911
19,19,21202
19,21,20110
19,23,14606
19,25,9746
19,27,20320
19,29,13145
19,31,18543
19,33,43006
19,35,11316
19,37,12005
19,39,9374
19,41,16170
19,43,17637
19,45,47010
19,47,17056
19,49,87235
19,51,8966
19,53,7950
19,55,17153
19,57,39417
19,59,17199
19,61,97041
19,63,9432
19,65,19796
19,67,15744
19,69,10164
19,71,6948
19,73,8981
19,75,12333
19,77,10670
19,79,15115
19,81,10771
19,83,17048
19,85,14136
19,87,19863
19,89,9228
19,91,9564
19,93,6865
19,95,16103
19,97,19366
19,99,36966
19,101,18422
19,103,149210
19,105,20536
19,107,10153
19,109,14999
19,111,34295
19,113,224115
19,115,11184
19,117,8534
19,119,11792
19,121,16013
19,123,22235
19,125,33105
19,127,40288
19,129,15068
19,131,10631
19,133,8740
19,135,7845
19,137,10137
19,139,42880
19,141,13801
19,143,6045
19,145,15224
19,147,9092
19,149,25220
19,151,6846
19,153,481830
19,155,93386
19,157,18314
19,159,5034
19,161,9817
19,163,172509
19,165,11628
19,167,34860
19,169,97502
19,171,17058
19,173,6178
19,175,12450
19,177,7157
19,179,35044
19,181,50163
19,183,22281
19,185,6476
19,187,36605
19,189,10587
19,191,20201
19,193,102429
19,195,7469
19,197,12784
20,1,12519
20,3,7833
20,5,16332
20,7,4586
20,9,26476
20,11,14754
20,13,9641
20,15,66878
20,17,2683
20,19,3363
20,21,20115
20,23,2683
20,25,2004
20,27,7958
20,29,8991
20,31,8224
20,33,1790
20,35,35361
20,37,39034
20,39,2885
20,41,18902
20,43,7727
20,45,120793
20,47,2893
20,49,2498
20,51,28689
20,53,6330
20,55,37084
20,57,34381
20,59,25733
20,61,33855
20,63,2631
20,65,2495
20,67,7526
20,69,5958
20,71,1249
20,73,6123
20,75,2640
20,77,5590
20,79,34544
20,81,4053
20,83,1842
20,85,13318
20,87,18998
20,89,2850
20,91,591178
20,93,3960
20,95,7360
20,97,2485
20,99,20145
20,101,1559
20,103,81095
20,105,3043
20,107,9726
20,109,2821
20,111,33392
20,113,28708
20,115,11986
20,117,9745
20,119,4303
20,121,33461
20,123,6128
20,125,32556
20,127,5455
20,129,2740
20,131,10118
20,133,16015
20,135,2869
20,137,5441
20,139,15772
20,141,3610
20,143,5863
20,145,6680
20,147,5370
20,149,23908
20,151,9547
20,153,2497
20,155,62510
20,157,4691
20,159,9660
20,161,74172
20,163,5043
20,165,3103
20,167,6915
20,169,54734
20,171,4961
20,173,513687
20,175,22159
20,177,178187
20,179,2527
20,181,5930
20,183,3668
20,185,4207
20,187,2060
20,189,5612
20,191,23159
20,193,7788
20,195,2884
20,197,6874
20,199,1524
20,201,5485
20,203,2125
20,205,8675
20,207,3147
20,209,165288
21,1,19485
21,3,20933
21,5,22544
21,7,8039
21,9,43801
21,11,12378
21,13,26894
21,15,130728
21,17,20029
21,19,47979
21,21,29924
21,23,8267
21,25,12946
21,27,20111
21,29,80246
21,31,12831
21,33,12639
21,35,38919
21,37,92488
21,39,4846
21,41,10713
21,43,27144
21,45,15750
21,47,70416
21,49,36046
21,51,20366
21,53,10276
21,55,9084
21,57,6706
21,59,100374
21,61,12226
21,63,7523
21,65,14277
21,67,321959
